title,publisher,publish_year,language,isbn
Lord of the Rings the Fellowship of the Ring,['Independently Published'],[2020],['ita'],['9798681747741']
The Lord of the Rings,"['Maxwell Macmillan International', 'Maxwell Macmillan Canada', 'Twayne Publishers', 'University Press of Kentucky', 'The University Press of Kentucky']","[1992, 2001, 2010]",['eng'],"['0813190177', '0813128056', '0805794417', '080578571X', '0813138019', '9780813128054', '9780805794410', '9780813190174', '9780805785715', '9780813138015']"
The Lord of the Rings,['New Line Home Video'],[2012],,['0794043554223']
The Lord of the Rings,,,,
The Lord of the Rings,['New Line Home Entertainment'],[2002],,"['9780780637023', '078063702X']"
The Lord of the Rings,['Fotonovel Publications'],[1979],['eng'],
"The Lord of the Rings, Fellowship of the Ring 2003 Daily Calendar (Lord of the Rings)",['Cedco Publishing Company'],[2002],['eng'],"['0768357616', '9780768357615']"
The Lord of the Rings - War of the Ring,['BRADY GAMES'],[2003],['eng'],"['9780744003499', '0744003490']"
The lord of the rings,,"[2002, 2003]",['eng'],
The Lord of the rings,['Collins'],[2001],,"['0007131941', '9780007131945']"
"The ""Lord of the Rings - The Fellowship of the Rings""",['Prima Games'],[2002],,"['9780761541769', '0761541764']"
The Lord of the rings location guidebook,"['HarperCollins Publishers Ltd', 'HarperCollins', 'HarperCollins (New Zealand)', 'Zondervan']","[2002, 2011, 2004]",['eng'],"['1869509277', '0007199686', '1869504526', '1869509269', '9781869509279', '9781869509262', '9780007199686', '9781869504526']"
The Lord of the Rings Trilogy,['Cedco Publishing Company'],[2004],['eng'],"['0768370191', '9780768370195']"
Lord of the Rings,,,,"['0780643321', '9780780643321']"
Lords of the Ring,['Pulse'],[1987],['eng'],"['092101404X', '9780921014041']"
Official the lôrd of the Rîngs 2022 Calendar,['Independently Published'],[2021],['eng'],['9798786358774']
The Lord of the Rings,['Prima Games'],[2002],['eng'],"['0761540873', '9780761540878']"
The lord of the rings,"['Houghton Mifflin', 'HarperCollins Publishers Ltd.', 'Houghton Mifflin Co.', 'HarperCollins']","[2008, 2005, 2014]",['eng'],"['9780618642670', '000720308X', '0618642676', '000720907X', '9780007209071', '9780007203086', '000755690X', '0007270607', '9780007270606', '9780007556908']"
The Lord of the Rings - The Fellowship of the Ring,['Prima Games'],[2002],['eng'],"['9780761540885', '0761540881']"
The Lord of the Rings: The Fellowship of the Ring,,,,
Lords of the ring,"['William Heinemann', 'William Heinemann Ltd']",[1991],['eng'],"['043473876X', '9780434738762']"
J. R. R. Tolkien's The Lord of the Rings,"['Chelsea House', 'Chelsea House Publications', 'Chelsea House Publishers']","[2000, 2008]",['eng'],"['0791056651', '9781604131451', '1604131454', '9780791056653']"
The Lord of the Rings,,,,
Lord of the Rings,['Independently Published'],[2019],['eng'],"['1712788698', '9781712788691']"
Lord of the Rings,,[2010],,
Lord of the Rings,"['Lightning Rod, a Division of Windstorm Creative']",[2006],['eng'],"['1590921372', '9781590921371']"
Lord of the Rings,['Random House Information Group'],[2004],['eng'],"['9780761544333', '076154433X']"
The Lord of the Rings: The Fellowship of the Ring,,,,
Lord of the Rings Trivia : the Lord of the Rings Facts and Quizzes,['Independently Published'],[2021],['eng'],['9798516629525']
Realm of the Ring Lords,"['Fair Winds Press (MA)', 'HarperCollins Publishers Ltd', 'Fair Winds Press', 'MediaQuest']","[2000, 2001, 2002, 2003]",['eng'],"['1931412944', '1931412146', '0007142935', '9781931412940', '9781931412148', '9781903773178', '9780007142934', '9780953768677', '0953768678', '1903773172']"
